id,【Adventure】,【Fantasy】,【Animation】,【Drama】,【Action】,【Comedy】,【Thriller】,【Crime】,【Science Fiction】,【Family】,【Columbia Pictures】,【Warner Bros】,【Universal Pictures】,【man】,【war】,【based on】,【release_date】,【revenue】,【runtime】
139,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0.851530993,0.011863195,0.11023622
140,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.732113518,0.021017323,0.086614173
141,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.975504108,0.043997038,0.291338583
142,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.931142644,0.095947213,0.141732283
143,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0.665496639,0.176644338,0.700787402
144,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.885511576,0.266332916,0.149606299
145,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.624943988,0.153121939,0.464566929
146,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.997460792,0.080215614,0.330708661
147,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.50545183,0.196914005,0.606299213
148,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0.614712472,0.156661758,0.11023622
149,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0.760418223,0.068205575,0.322834646
150,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0.984540702,0.185185382,0.165354331
151,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.871919343,0.247566434,0.464566929
152,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0.898058252,0.108179255,0.181102362
153,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0.709335325,0.070466643,0.125984252
154,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0.653547423,0.162032106,0.62992126
155,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.953472741,0.094192847,0.598425197
156,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.801344287,0.136482443,0.417322835
157,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.610007468,0.293215712,0.37007874
158,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0.940477969,0.216800407,0.220472441
159,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.987005228,0.052010245,0.417322835
160,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.698431665,0.025501053,0.37007874
161,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0.796713966,0.064439585,0.700787402
162,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0.506123973,0.100451988,0.417322835
163,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0.640926064,0.086043477,0.503937008
164,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0.907393577,0.131520441,0.283464567
165,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0.689992532,0.040719211,0.393700787
166,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0.587378641,0.028448199,0.251968504
167,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.861613144,0.131050809,0.393700787
168,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.542419716,0.127910101,0.42519685
169,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.651979089,0.074055819,0.503937008
170,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0.897460792,0.295836673,0.322834646
171,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0.870425691,0.051911611,0.204724409
172,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0.776848394,0.056694402,0.31496063
173,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.99424944,0.063751802,0.362204724
174,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.982374907,0.189419667,0.645669291
175,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.915384615,0.099418937,0.173228346
176,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.851008215,0.086174363,0.25984252
177,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.952651232,0.132122825,0.141732283
178,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0.753398058,0.157023132,0.322834646
179,1,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0.776250934,0.224931863,0.125984252
180,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.97012696,0.184517202,0.338582677
181,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.924869305,0.302459108,0.566929134
182,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0.961314414,0.130440176,0.157480315
183,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0.696191187,0.210551728,0.330708661
184,1,0,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0.64309186,0.096100746,0.57480315
185,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.868932039,0.197341007,0.125984252
186,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0.834279313,0.103286114,0.204724409
187,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.93420463,0.12819949,0.511811024
188,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.868707991,0.131543372,0.25984252
189,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0.666840926,0.281747603,0.527559055
190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.788722928,0.015659506,0.716535433
191,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.912247946,0.085498054,0.204724409
192,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.556833458,0.125183859,0.062992126
193,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.954518297,0.123449918,0.181102362
194,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0.84167289,0.11355153,0.165354331
195,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0.597610157,0.348847762,0.614173228
196,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0.915907394,0.020006956,0.173228346
197,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.642419716,0.233295224,0.543307087
198,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0.952352502,0.268194527,0.385826772
199,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.720313667,0.273845271,0.590551181
200,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.934129948,0.177643119,0.220472441
201,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0.636743839,0.144401673,0.464566929
202,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0.854667662,0.22291643,0.440944882
203,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.870799104,0.118126621,0.433070866
204,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.825989544,0.081497304,0.251968504
205,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.284988798,0.091779488,0.307086614
206,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.536967886,0.020025072,0.220472441
207,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0.89021658,0.097263007,0.362204724
208,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.477371173,0.083472154,0.401574803
209,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0.570425691,0.121910408,0.236220472
210,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0.666467513,0.193489401,0.393700787
211,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.557206871,0.194249905,0.385826772
212,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0.551979089,0.114942422,0.440944882
213,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0.749589246,0.101747168,0.141732283
214,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.89798357,0.216762131,0.417322835
215,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.740851382,0.080068555,0.31496063
216,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.998431665,0.147195862,0.385826772
217,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.641523525,0.091009483,0.251968504
218,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.884988798,0.142769233,0.393700787
219,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0.615907394,0.058939113,0.031496063
220,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0.917401046,0.100702204,0.275590551
221,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.667662435,0.03946228,0.354330709
222,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0.930545183,0.085083183,0.220472441
223,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0.774309186,0.031616428,0.480314961
224,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0.84540702,0.015341353,0.37007874
225,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.831590739,0.091999658,0.275590551
226,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0.908513816,0.100712223,0.393700787
227,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0.693054518,0.303385266,0.519685039
228,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.611053025,0.23127763,0.535433071
229,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.596489918,0.200155115,0.141732283
230,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0.916280807,0.147179959,0.409448819
231,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.529499627,0.330099217,0.488188976
232,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0.906945482,0.20819353,0.188976378
233,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0.765571322,0.045618792,0.330708661
234,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0.613293503,0.025750991,0.472440945
235,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0.990067214,0.05701435,0.31496063
236,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0.944660194,0.16937977,0.212598425
237,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0.921209858,0.255359215,0.133858268
238,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0.467438387,0.061876218,0.267716535
239,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.99424944,0.086138146,0.299212598
240,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0.971769978,0.058227673,0.204724409
241,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0.731964152,0.20434803,0.267716535
242,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0.966542196,0.166968113,0.31496063
243,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.490365945,0.117550077,0.354330709
244,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0.559820762,0.075235999,0.716535433
245,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0.681179985,0.128237882,0.401574803
246,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0.694622853,0.169741929,0.362204724
247,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0.961314414,0.103972363,0.354330709
248,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.681777446,0.034511577,0.755905512
249,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.846004481,0.083175818,0.086614173
250,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0.847348768,0.079737443,0.354330709
251,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0.933084391,0.119192429,0.220472441
252,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0.862135922,0.200490512,0.228346457
253,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.662434653,0.035213043,0.015748031
254,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.987976102,0.062278489,0.37007874
255,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.866691561,0.105421084,0.417322835
256,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0.916803585,0.122734562,0.244094488
257,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0.476848394,0.056980527,0.37007874
258,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0.923151606,0.04297218,0.31496063
